date,series_id,value,unit,frequency,release_version
2009-01-03,obm_block_weight_wu_daily,1140,WU,daily,OBM v0.1.0
2009-01-04,obm_block_weight_wu_daily,0,WU,daily,OBM v0.1.0
2009-01-05,obm_block_weight_wu_daily,0,WU,daily,OBM v0.1.0
2009-01-06,obm_block_weight_wu_daily,0,WU,daily,OBM v0.1.0
2009-01-07,obm_block_weight_wu_daily,0,WU,daily,OBM v0.1.0
2009-01-08,obm_block_weight_wu_daily,0,WU,daily,OBM v0.1.0
2009-01-09,obm_block_weight_wu_daily,12040,WU,daily,OBM v0.1.0
2009-01-10,obm_block_weight_wu_daily,52516,WU,daily,OBM v0.1.0
2009-01-11,obm_block_weight_wu_daily,80132,WU,daily,OBM v0.1.0
2009-01-12,obm_block_weight_wu_daily,88124,WU,daily,OBM v0.1.0
2009-01-13,obm_block_weight_wu_daily,106108,WU,daily,OBM v0.1.0
2009-01-14,obm_block_weight_wu_daily,113104,WU,daily,OBM v0.1.0
2009-01-15,obm_block_weight_wu_daily,120244,WU,daily,OBM v0.1.0
2009-01-16,obm_block_weight_wu_daily,95416,WU,daily,OBM v0.1.0
2009-01-17,obm_block_weight_wu_daily,94112,WU,daily,OBM v0.1.0
2009-01-18,obm_block_weight_wu_daily,94136,WU,daily,OBM v0.1.0
2009-01-19,obm_block_weight_wu_daily,107132,WU,daily,OBM v0.1.0
2009-01-20,obm_block_weight_wu_daily,102476,WU,daily,OBM v0.1.0
2009-01-21,obm_block_weight_wu_daily,89348,WU,daily,OBM v0.1.0
2009-01-22,obm_block_weight_wu_daily,83264,WU,daily,OBM v0.1.0
2009-01-23,obm_block_weight_wu_daily,77024,WU,daily,OBM v0.1.0
2009-01-24,obm_block_weight_wu_daily,178536,WU,daily,OBM v0.1.0
2009-01-25,obm_block_weight_wu_daily,165788,WU,daily,OBM v0.1.0
2009-01-26,obm_block_weight_wu_daily,92140,WU,daily,OBM v0.1.0
2009-01-27,obm_block_weight_wu_daily,85480,WU,daily,OBM v0.1.0
2009-01-28,obm_block_weight_wu_daily,96612,WU,daily,OBM v0.1.0
2009-01-29,obm_block_weight_wu_daily,109992,WU,daily,OBM v0.1.0
2009-01-30,obm_block_weight_wu_daily,101028,WU,daily,OBM v0.1.0
2009-01-31,obm_block_weight_wu_daily,128320,WU,daily,OBM v0.1.0
2009-02-01,obm_block_weight_wu_daily,98628,WU,daily,OBM v0.1.0
2009-02-02,obm_block_weight_wu_daily,111152,WU,daily,OBM v0.1.0
2009-02-03,obm_block_weight_wu_daily,138164,WU,daily,OBM v0.1.0
2009-02-04,obm_block_weight_wu_daily,102692,WU,daily,OBM v0.1.0
2009-02-05,obm_block_weight_wu_daily,108724,WU,daily,OBM v0.1.0
2009-02-06,obm_block_weight_wu_daily,105328,WU,daily,OBM v0.1.0
2009-02-07,obm_block_weight_wu_daily,124000,WU,daily,OBM v0.1.0
2009-02-08,obm_block_weight_wu_daily,114880,WU,daily,OBM v0.1.0
2009-02-09,obm_block_weight_wu_daily,135932,WU,daily,OBM v0.1.0
2009-02-10,obm_block_weight_wu_daily,103520,WU,daily,OBM v0.1.0
2009-02-11,obm_block_weight_wu_daily,121896,WU,daily,OBM v0.1.0
2009-02-12,obm_block_weight_wu_daily,102756,WU,daily,OBM v0.1.0
2009-02-13,obm_block_weight_wu_daily,107088,WU,daily,OBM v0.1.0
2009-02-14,obm_block_weight_wu_daily,117388,WU,daily,OBM v0.1.0
2009-02-15,obm_block_weight_wu_daily,117444,WU,daily,OBM v0.1.0
2009-02-16,obm_block_weight_wu_daily,119156,WU,daily,OBM v0.1.0
2009-02-17,obm_block_weight_wu_daily,101040,WU,daily,OBM v0.1.0
2009-02-18,obm_block_weight_wu_daily,101924,WU,daily,OBM v0.1.0
2009-02-19,obm_block_weight_wu_daily,114600,WU,daily,OBM v0.1.0
2009-02-20,obm_block_weight_wu_daily,105336,WU,daily,OBM v0.1.0
2009-02-21,obm_block_weight_wu_daily,98480,WU,daily,OBM v0.1.0
2009-02-22,obm_block_weight_wu_daily,110616,WU,daily,OBM v0.1.0
2009-02-23,obm_block_weight_wu_daily,93308,WU,daily,OBM v0.1.0
2009-02-24,obm_block_weight_wu_daily,91556,WU,daily,OBM v0.1.0
2009-02-25,obm_block_weight_wu_daily,90664,WU,daily,OBM v0.1.0
2009-02-26,obm_block_weight_wu_daily,92432,WU,daily,OBM v0.1.0
2009-02-27,obm_block_weight_wu_daily,115828,WU,daily,OBM v0.1.0
2009-02-28,obm_block_weight_wu_daily,88912,WU,daily,OBM v0.1.0
