date,series_id,value,unit,frequency,release_version
2009-01-01,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-02,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-03,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-04,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-05,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-06,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-07,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-08,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-09,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-10,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-11,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-12,obm_spent_output_count_daily,7,outputs,daily,OBM v0.1.0
2009-01-13,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-14,obm_spent_output_count_daily,3,outputs,daily,OBM v0.1.0
2009-01-15,obm_spent_output_count_daily,15,outputs,daily,OBM v0.1.0
2009-01-16,obm_spent_output_count_daily,4,outputs,daily,OBM v0.1.0
2009-01-17,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-18,obm_spent_output_count_daily,3,outputs,daily,OBM v0.1.0
2009-01-19,obm_spent_output_count_daily,16,outputs,daily,OBM v0.1.0
2009-01-20,obm_spent_output_count_daily,8,outputs,daily,OBM v0.1.0
2009-01-21,obm_spent_output_count_daily,2,outputs,daily,OBM v0.1.0
2009-01-22,obm_spent_output_count_daily,10,outputs,daily,OBM v0.1.0
2009-01-23,obm_spent_output_count_daily,9,outputs,daily,OBM v0.1.0
2009-01-24,obm_spent_output_count_daily,10,outputs,daily,OBM v0.1.0
2009-01-25,obm_spent_output_count_daily,1,outputs,daily,OBM v0.1.0
2009-01-26,obm_spent_output_count_daily,20,outputs,daily,OBM v0.1.0
2009-01-27,obm_spent_output_count_daily,3,outputs,daily,OBM v0.1.0
2009-01-28,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-29,obm_spent_output_count_daily,12,outputs,daily,OBM v0.1.0
2009-01-30,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-01-31,obm_spent_output_count_daily,20,outputs,daily,OBM v0.1.0
2009-02-01,obm_spent_output_count_daily,2,outputs,daily,OBM v0.1.0
2009-02-02,obm_spent_output_count_daily,1,outputs,daily,OBM v0.1.0
2009-02-03,obm_spent_output_count_daily,18,outputs,daily,OBM v0.1.0
2009-02-04,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-02-05,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-02-06,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-02-07,obm_spent_output_count_daily,24,outputs,daily,OBM v0.1.0
2009-02-08,obm_spent_output_count_daily,1,outputs,daily,OBM v0.1.0
2009-02-09,obm_spent_output_count_daily,44,outputs,daily,OBM v0.1.0
2009-02-10,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-02-11,obm_spent_output_count_daily,14,outputs,daily,OBM v0.1.0
2009-02-12,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-02-13,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-02-14,obm_spent_output_count_daily,0,outputs,daily,OBM v0.1.0
2009-02-15,obm_spent_output_count_daily,13,outputs,daily,OBM v0.1.0
2009-02-16,obm_spent_output_count_daily,30,outputs,daily,OBM v0.1.0
