date,series_id,value,unit,frequency,release_version
2009-01-03,obm_utxo_eod_count_daily,1,outputs,daily,OBM v0.1.0
2009-01-04,obm_utxo_eod_count_daily,NaN,outputs,daily,OBM v0.1.0
2009-01-05,obm_utxo_eod_count_daily,NaN,outputs,daily,OBM v0.1.0
2009-01-06,obm_utxo_eod_count_daily,NaN,outputs,daily,OBM v0.1.0
2009-01-07,obm_utxo_eod_count_daily,NaN,outputs,daily,OBM v0.1.0
2009-01-08,obm_utxo_eod_count_daily,NaN,outputs,daily,OBM v0.1.0
2009-01-09,obm_utxo_eod_count_daily,15,outputs,daily,OBM v0.1.0
2009-01-10,obm_utxo_eod_count_daily,76,outputs,daily,OBM v0.1.0
2009-01-11,obm_utxo_eod_count_daily,169,outputs,daily,OBM v0.1.0
2009-01-12,obm_utxo_eod_count_daily,268,outputs,daily,OBM v0.1.0
2009-01-13,obm_utxo_eod_count_daily,391,outputs,daily,OBM v0.1.0
2009-01-14,obm_utxo_eod_count_daily,518,outputs,daily,OBM v0.1.0
2009-01-15,obm_utxo_eod_count_daily,643,outputs,daily,OBM v0.1.0
2009-01-16,obm_utxo_eod_count_daily,749,outputs,daily,OBM v0.1.0
2009-01-17,obm_utxo_eod_count_daily,858,outputs,daily,OBM v0.1.0
2009-01-18,obm_utxo_eod_count_daily,963,outputs,daily,OBM v0.1.0
2009-01-19,obm_utxo_eod_count_daily,1064,outputs,daily,OBM v0.1.0
2009-01-20,obm_utxo_eod_count_daily,1171,outputs,daily,OBM v0.1.0
2009-01-21,obm_utxo_eod_count_daily,1272,outputs,daily,OBM v0.1.0
2009-01-22,obm_utxo_eod_count_daily,1354,outputs,daily,OBM v0.1.0
2009-01-23,obm_utxo_eod_count_daily,1431,outputs,daily,OBM v0.1.0
2009-01-24,obm_utxo_eod_count_daily,1623,outputs,daily,OBM v0.1.0
2009-01-25,obm_utxo_eod_count_daily,1814,outputs,daily,OBM v0.1.0
2009-01-26,obm_utxo_eod_count_daily,1891,outputs,daily,OBM v0.1.0
2009-01-27,obm_utxo_eod_count_daily,1986,outputs,daily,OBM v0.1.0
2009-01-28,obm_utxo_eod_count_daily,2098,outputs,daily,OBM v0.1.0
2009-01-29,obm_utxo_eod_count_daily,2208,outputs,daily,OBM v0.1.0
2009-01-30,obm_utxo_eod_count_daily,2325,outputs,daily,OBM v0.1.0
2009-01-31,obm_utxo_eod_count_daily,2444,outputs,daily,OBM v0.1.0
2009-02-01,obm_utxo_eod_count_daily,2556,outputs,daily,OBM v0.1.0
2009-02-02,obm_utxo_eod_count_daily,2684,outputs,daily,OBM v0.1.0
2009-02-03,obm_utxo_eod_count_daily,2835,outputs,daily,OBM v0.1.0
2009-02-04,obm_utxo_eod_count_daily,2954,outputs,daily,OBM v0.1.0
2009-02-05,obm_utxo_eod_count_daily,3080,outputs,daily,OBM v0.1.0
2009-02-06,obm_utxo_eod_count_daily,3202,outputs,daily,OBM v0.1.0
2009-02-07,obm_utxo_eod_count_daily,3312,outputs,daily,OBM v0.1.0
2009-02-08,obm_utxo_eod_count_daily,3444,outputs,daily,OBM v0.1.0
2009-02-09,obm_utxo_eod_count_daily,3535,outputs,daily,OBM v0.1.0
2009-02-10,obm_utxo_eod_count_daily,3655,outputs,daily,OBM v0.1.0
2009-02-11,obm_utxo_eod_count_daily,3776,outputs,daily,OBM v0.1.0
2009-02-12,obm_utxo_eod_count_daily,3895,outputs,daily,OBM v0.1.0
2009-02-13,obm_utxo_eod_count_daily,4019,outputs,daily,OBM v0.1.0
2009-02-14,obm_utxo_eod_count_daily,4155,outputs,daily,OBM v0.1.0
2009-02-15,obm_utxo_eod_count_daily,4273,outputs,daily,OBM v0.1.0
2009-02-16,obm_utxo_eod_count_daily,4366,outputs,daily,OBM v0.1.0
2009-02-17,obm_utxo_eod_count_daily,4483,outputs,daily,OBM v0.1.0
2009-02-18,obm_utxo_eod_count_daily,4601,outputs,daily,OBM v0.1.0
2009-02-19,obm_utxo_eod_count_daily,4710,outputs,daily,OBM v0.1.0
2009-02-20,obm_utxo_eod_count_daily,4832,outputs,daily,OBM v0.1.0
2009-02-21,obm_utxo_eod_count_daily,4946,outputs,daily,OBM v0.1.0
2009-02-22,obm_utxo_eod_count_daily,5060,outputs,daily,OBM v0.1.0
2009-02-23,obm_utxo_eod_count_daily,5168,outputs,daily,OBM v0.1.0
2009-02-24,obm_utxo_eod_count_daily,5274,outputs,daily,OBM v0.1.0
2009-02-25,obm_utxo_eod_count_daily,5379,outputs,daily,OBM v0.1.0
2009-02-26,obm_utxo_eod_count_daily,5486,outputs,daily,OBM v0.1.0
2009-02-27,obm_utxo_eod_count_daily,5566,outputs,daily,OBM v0.1.0
2009-02-28,obm_utxo_eod_count_daily,5659,outputs,daily,OBM v0.1.0
2009-03-01,obm_utxo_eod_count_daily,5764,outputs,daily,OBM v0.1.0
2009-03-02,obm_utxo_eod_count_daily,5872,outputs,daily,OBM v0.1.0
